Festival,Year,Track,Title,Brand,Agency,Contributing_Agencies,Category,Country,Award Level,Permalink
Effie Awards Latam,2025,Single-Market,¿Ese producto? ¡Yo no lo voy a usar! TRESemmé hizo lo que ninguna marca se atrevió a hacer lanzar una anti-campaña para un producto anti-frizzElegimos vender verdad no promesas,TRESemmé,Out Of Office,Index Conectada/Initiative/Surreal Hotel Arts/Notan Studio,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/ese-producto-yo-no-lo-voy-a-usar-tresemme-hizo-lo-que-ninguna-marca-se-atrevio-a-hacer-lanzar-una-anti-campana-para-un-p/
Effie Awards Latam,2025,Single-Market,RÖD - Mototemáticos,YPF,Zurda Agency,,Electronic & durables,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/rod-mototematicos-ypf-zurda-agency-2025/
Effie Awards Latam,2025,Single-Market,Quilmes Rock,Quilmes,draftLine BUE,La América Buenos Aires,Electronic & durables,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/quilmes-rock-quilmes-draftline-bue-2025/
Effie Awards Latam,2025,Single-Market,Recuérdame viviendo,Victoria,Wieden + Kennedy México,Agencia Montalvo/Zenith Media/Trendsétera de México,Electronic & durables,México,Shortlist,/awards/effie_latam/2025/campaigns/recuerdame-viviendo-victoria-wieden-kennedy-mexico-2025-2/
Effie Awards Latam,2025,Single-Market,Belos beijos Closeup,Closeup,MullenLowe Brasil e Initiative,Spark/Weber Shandwick (Brasil)/Feat,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/belos-beijos-closeup-closeup-mullenlowe-brasil-e-initiative-2025/
Effie Awards Latam,2025,Single-Market,Gagacabanned,Santander,Droga5 São Paulo,CRIAmov/Vista,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/gagacabanned-santander-droga5-sao-paulo-2025/
Effie Awards Latam,2025,Single-Market,Salvando pelotica de goma,Vacílate esto,La Web / Buentipo Venezuela y Buentipo Colombia,,Electronic & durables,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/salvando-pelotica-de-goma-vacilate-esto-la-web-buentipo-venezuela-y-buentipo-colombia-2025/
Effie Awards Latam,2025,Single-Market,Dove - Only available in Brazil,Dove,David Agency y Tastemakers Assessoria De Comunicacao LTDA,Initiative/BR Media Group,Electronic & durables,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dove-only-available-in-brazil-dove-david-agency-y-tastemakers-assessoria-de-comunicacao-ltda-2025-2/
Effie Awards Latam,2025,Single-Market,Taylormania,Banco Patagonia,TombrasNiña,,Electronic & durables,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/taylormania-banco-patagonia-tombrasnina-2025/
Effie Awards Latam,2025,Single-Market,Oreo - De copia a copiada Oreo conquista Brasil una mordida a la vez,Oreo - Longo Prazo,Leo Burnett Tailor Made,Netflix Brasil,Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/oreo-de-copia-a-copiada-oreo-conquista-brasil-una-mordida-a-la-vez-oreo-longo-prazo-leo-burnett-tailor-made-2025/
Effie Awards Latam,2025,Single-Market,FYS 50% menos azúcar y menos marketing,FYS,AlmapBBDO,Iprospect (Brasil),Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/fys-50-menos-azucar-y-menos-marketing-fys-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Volkswagen Una reconexión histórica,Volkswagen,AlmapBBDO,,Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/volkswagen-una-reconexion-historica-volkswagen-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,ICBC un caso de éxito sostenido que es un SÍ,ICBC,Don by Havas,VML,Sustained success,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/icbc-un-caso-de-exito-sostenido-que-es-un-si-icbc-don-by-havas-2025/
Effie Awards Latam,2025,Single-Market,Conectar con responsabilidad,Movistar,VML Argentina,Havas Plus,Sustained success,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/conectar-con-responsabilidad-movistar-vml-argentina-2025/
Effie Awards Latam,2025,Single-Market,Mi país mi plata mi plataforma,Mercado Pago,Gut Argentina y Gut Brasil,,Sustained success,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/mi-pais-mi-plata-mi-plataforma-mercado-pago-gut-argentina-y-gut-brasil-2025/
Effie Awards Latam,2025,Single-Market,No subestimes el efecto extra pip-cante de Flamin Hot,Flamin Hot,Isla República México e Isla República Argentina,,Sustained success,México,Shortlist,/awards/effie_latam/2025/campaigns/no-subestimes-el-efecto-extra-pip-cante-de-flamin-hot-flamin-hot-isla-republica-mexico-e-isla-republica-argentina-2025/
Effie Awards Latam,2025,Single-Market,N posibilidades construyendo la percepción,Nubank,Wieden + Kennedy,,Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/n-posibilidades-construyendo-la-percepcion-nubank-wieden-kennedy-2025/
Effie Awards Latam,2025,Single-Market,Electrolux de retador a líder,Electrolux,DPZ,,Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/electrolux-de-retador-a-lider-electrolux-dpz-2025/
Effie Awards Latam,2025,Single-Market,Fanta halloween Building a latin halloween celebration,Fanta,VML Brasil y Open X,Studio X/BCW,Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/fanta-halloween-building-a-latin-halloween-celebration-fanta-vml-brasil-y-open-x-2025/
Effie Awards Latam,2025,Single-Market,El Internet de los winners,Win,Lemon,,Sustained success,Perú,Shortlist,/awards/effie_latam/2025/campaigns/el-internet-de-los-winners-win-lemon-2025/
Effie Awards Latam,2025,Single-Market,Error perfecto Celebrando la improvisación brasileña,Nissin,Dentsu Creative Brasil,,Sustained success,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/error-perfecto-celebrando-la-improvisacion-brasilena-nissin-dentsu-creative-brasil-2025/
Effie Awards Latam,2025,Single-Market,Andes Origen,Andes Origen,New Creative Sciences,Impero Buenos aires/draftLine BUE,Sustained success,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/andes-origen-andes-origen-new-creative-sciences-2025/
Effie Awards Latam,2025,Single-Market,Wheres ratinhos water?,Unicef,VML,,Government & institutional,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/wheres-ratinhos-water-unicef-vml-2025-2/
Effie Awards Latam,2025,Single-Market,Worm food,Gobierno De Chile,VML,Global/Oriental Films,Government & institutional,Chile,Shortlist,/awards/effie_latam/2025/campaigns/worm-food-gobierno-de-chile-vml-2025/
Effie Awards Latam,2025,Single-Market,Dont stop motion,Gobierno de Chile,VML Chile,PunkRobot/Uff Contenidos,Government & institutional,Chile,Shortlist,/awards/effie_latam/2025/campaigns/dont-stop-motion-gobierno-de-chile-vml-chile-2025/
Effie Awards Latam,2025,Single-Market,Demands for giving,Giving Tuesday,De la Cruz Ogilvy,Culture Create,Government & institutional,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/demands-for-giving-giving-tuesday-de-la-cruz-ogilvy-2025/
Effie Awards Latam,2025,Single-Market,Clandestination Pistas de la belleza escondida,ProColombia,DDB Colombia,Quiroga Agencia de Medios,Government & institutional,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/clandestination-pistas-de-la-belleza-escondida-procolombia-ddb-colombia-2025/
Effie Awards Latam,2025,Single-Market,Oreo - Modo Merlina - torturando galletas y asustando a la competencia,Oreo - Wandinha,Leo Burnett Tailor Made,Netflix Brasil,Candy snacks & desserts,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/oreo-modo-merlina-torturando-galletas-y-asustando-a-la-competencia-oreo-wandinha-leo-burnett-tailor-made-2025/
Effie Awards Latam,2025,Single-Market,Club Social - Se no hay ajetreo no hay caso,Club Social - Xamã,Leo Burnett Tailor Made,,Candy snacks & desserts,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/club-social-se-no-hay-ajetreo-no-hay-caso-club-social-xama-leo-burnett-tailor-made-2025/
Effie Awards Latam,2025,Single-Market,Outside Book from screens to the sun,Fruittella,VML,Sweet Filmes,Candy snacks & desserts,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/outside-book-from-screens-to-the-sun-fruittella-vml-2025-2/
Effie Awards Latam,2025,Single-Market,Me vale Cheetos,Cheetos,Slap Global,,Candy snacks & desserts,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/me-vale-cheetos-cheetos-slap-global-2025-2/
Effie Awards Latam,2025,Single-Market,Kacang Una intensa lluvia de sabor,Kacang,Don by Havas,,Candy snacks & desserts,México,Shortlist,/awards/effie_latam/2025/campaigns/kacang-una-intensa-lluvia-de-sabor-kacang-don-by-havas-2025/
Effie Awards Latam,2025,Single-Market,Estrellas Flamin Hot,Flamin Hot,Isla República México e Isla República Argentina,,Candy snacks & desserts,México,Shortlist,/awards/effie_latam/2025/campaigns/estrellas-flamin-hot-flamin-hot-isla-republica-mexico-e-isla-republica-argentina-2025/
Effie Awards Latam,2025,Single-Market,Auténticas Marias,Marias Gamesa,Isla República México e Isla República Argentina,Primo Content,Candy snacks & desserts,México,Shortlist,/awards/effie_latam/2025/campaigns/autenticas-marias-marias-gamesa-isla-republica-mexico-e-isla-republica-argentina-2025/
Effie Awards Latam,2025,Single-Market,Somos de otro planeta,Doritos,Isla República México e Isla República Argentina,Iconoclast,Candy snacks & desserts,México,Shortlist,/awards/effie_latam/2025/campaigns/somos-de-otro-planeta-doritos-isla-republica-mexico-e-isla-republica-argentina-2025/
Effie Awards Latam,2025,Single-Market,X-Hack,Trident XBOX,Publicis Group México,,Candy snacks & desserts,México,Shortlist,/awards/effie_latam/2025/campaigns/x-hack-trident-xbox-publicis-group-mexico-2025/
Effie Awards Latam,2025,Single-Market,Críticos del picante,Flamin Hot,Isla México e Isla Argentina,Lovster TV,Candy snacks & desserts,México,Shortlist,/awards/effie_latam/2025/campaigns/criticos-del-picante-flamin-hot-isla-mexico-e-isla-argentina-2025/
Effie Awards Latam,2025,Single-Market,"O Boticário un llamado para el planeta renascer""",O Boticário,AlmapBBDO,Rede Globo,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/o-boticario-un-llamado-para-el-planeta-renascer-o-boticario-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Trident free fire - Suelta la skin al juego,Trident - Games,Leo Burnett Tailor Made,,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/trident-free-fire-suelta-la-skin-al-juego-trident-games-leo-burnett-tailor-made-2025/
Effie Awards Latam,2025,Single-Market,BK Pixvertising,Burger King,AlmapBBDO,Jotacom/Streetwise,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/bk-pixvertising-burger-king-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Fanta beetlejuice re-possession,Fanta,Ogilvy & Mather,Iara Digital/A-gandaia Sound Compan/ /Amazon (Brasil)/Sailor Studio,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/fanta-beetlejuice-re-possession-fanta-ogilvy-and-mather-2025/
Effie Awards Latam,2025,Single-Market,Te hace grande,Milo/Nestlé,Ogilvy Chile y Ogilvy Argentina,Thrive,Media idea,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/te-hace-grande-milonestle-ogilvy-chile-y-ogilvy-argentina-2025/
Effie Awards Latam,2025,Single-Market,Dolores de placa,Dorflex,Publicis Brasil,Media Monks/LiveMode/Spark Brasil,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dolores-de-placa-dorflex-publicis-brasil-2025/
Effie Awards Latam,2025,Single-Market,T-Search,ONG Mães da Sé,Cappuccino,Shotfilmes/Ultrassom Music Ideas/Weber Shandwick (Brasil)/Powell Tate Brazil,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/t-search-ong-maes-da-se-cappuccino-2025-2/
Effie Awards Latam,2025,Single-Market,Fiat De un limón una goleada,Fiat,Leo Burnett Tailor Made,Globo Comunicacao e Participacoes S/A,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/fiat-de-un-limon-una-goleada-fiat-leo-burnett-tailor-made-2025-2/
Effie Awards Latam,2025,Single-Market,Heineken the loudest play list,Heineken,Dentsu Creative y Le Pub Brasil,Spotify,Media idea,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/heineken-the-loudest-play-list-heineken-dentsu-creative-y-le-pub-brasil-2025/
Effie Awards Latam,2025,Single-Market,Tapos el plato hecho de lo que desperdiciabas,Bimbo de Colombia,McCann Worldgroup Colombia,PHD Colombia SAS/Weber Shandwick Colombia/Momentum Colombia/Craft Colombia,Positive change- Environmental - Brands,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/tapos-el-plato-hecho-de-lo-que-desperdiciabas-bimbo-de-colombia-mccann-worldgroup-colombia-2025/
Effie Awards Latam,2025,Single-Market,Dont stop motion,Gobierno de Chile,VML,PunkRobot/Uff Contenidos,Positive change - Social good - Non profit,Chile,Shortlist,/awards/effie_latam/2025/campaigns/dont-stop-motion-gobierno-de-chile-vml-2025/
Effie Awards Latam,2025,Single-Market,Wheres ratinhos water?,Unicef,VML,,Positive change - Social good - Non profit,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/wheres-ratinhos-water-unicef-vml-2025-3/
Effie Awards Latam,2025,Single-Market,T-Search,ONG Mães da Sé,Cappuccino,Shotfilmes/Ultrassom Music Ideas/Weber Shandwick (Brasil)/Powell Tate Brazil,Positive change - Social good - Non profit,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/t-search-ong-maes-da-se-cappuccino-2025-3/
Effie Awards Latam,2025,Single-Market,This is not a game,Movistar,VML,Havas Group México,Positive change - Social good - Brands,México,Shortlist,/awards/effie_latam/2025/campaigns/this-is-not-a-game-movistar-vml-2025-2/
Effie Awards Latam,2025,Single-Market,Día de los padres O Boticário ¿Hasta cuándo vamos a pensar que 5 días son suficientes?,O Boticário,AlmapBBDO,,Positive change - Social good - Brands,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dia-de-los-padres-o-boticario-hasta-cuando-vamos-a-pensar-que-5-dias-son-suficientes-o-boticario-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Dia de las madres O Boticário El amor siempre tiene un plan,O Boticário,AlmapBBDO,,Positive change - Social good - Brands,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dia-de-las-madres-o-boticario-el-amor-siempre-tiene-un-plan-o-boticario-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Her Touch La guía para el placer femenino,O Boticário,AlmapBBDO,,Positive change - Social good - Brands,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/her-touch-la-guia-para-el-placer-femenino-o-boticario-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Pedigree Caramelo el mestizo amado de Brasil ahora tiene Pedigree,Pedigree,AlmapBBDO,,Positive change - Social good - Brands,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/pedigree-caramelo-el-mestizo-amado-de-brasil-ahora-tiene-pedigree-pedigree-almapbbdo-2025-3/
Effie Awards Latam,2025,Single-Market,(Un)deleted,Dove,VML Argentina y Media Lab Agency,Bien Buenos Aires/Initiative Argentina/Mama Hungara,Positive change - Social good - Brands,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/undeleted-dove-vml-argentina-y-media-lab-agency-2025/
Effie Awards Latam,2025,Single-Market,Más allá de los aros,Decathlon,Publicis,Sportv,Positive change - Social good - Brands,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/mas-alla-de-los-aros-decathlon-publicis-2025/
Effie Awards Latam,2025,Single-Market,Outside Book from screens to the sun,Fruittella,VML,Sweet Filmes,Positive change - Social good - Brands,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/outside-book-from-screens-to-the-sun-fruittella-vml-2025-3/
Effie Awards Latam,2025,Single-Market,Conejito Visibilizando el acogimiento temporal,América Televisión,Lemon,,Positive change - Social good - Brands,Perú,Shortlist,/awards/effie_latam/2025/campaigns/conejito-visibilizando-el-acogimiento-temporal-america-television-lemon-2025/
Effie Awards Latam,2025,Single-Market,El 7 mujeres la película que desenmascaró al asesino silencioso del VPH,MSD Colombia,McCann Worldgroup Colombia y Weber Shandwick Colombia,Performer S,Positive change - Social good - Brands,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/el-7-mujeres-la-pelicula-que-desenmascaro-al-asesino-silencioso-del-vph-msd-colombia-mccann-worldgroup-colombia-y-webe-2/
Effie Awards Latam,2025,Single-Market,Gamers por Chile 3 aventura en el mundo oculto,Banco de Chile,DDB,Hearts / Science/La Vulca,Positive change - Social good - Brands,Chile,Shortlist,/awards/effie_latam/2025/campaigns/gamers-por-chile-3-aventura-en-el-mundo-oculto-banco-de-chile-ddb-2025/
Effie Awards Latam,2025,Single-Market,Car parts for life,Fundación Stefano y Plaza Las Américas y Del Caribe,De la Cruz Ogilvy,,Positive change - Social good - Brands,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/car-parts-for-life-fundacion-stefano-y-plaza-las-americas-y-del-caribe-de-la-cruz-ogilvy-2025-2/
Effie Awards Latam,2025,Single-Market,The test list,Grupo Omint,Tombras Niña,,Positive change - Social good - Brands,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/the-test-list-grupo-omint-tombras-nina-2025/
Effie Awards Latam,2025,Single-Market,Vult beauty posters,Vult,AlmapBBDO,,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/vult-beauty-posters-vult-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Unrecognized Idols,Mastercard,WMcCann,,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/unrecognized-idols-mastercard-wmccann-2025/
Effie Awards Latam,2025,Single-Market,Lays Comentarista Disfrazada,Lays,AlmapBBDO,Ampfy,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/lays-comentarista-disfrazada-lays-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Bolsa de trabajo inclusiva,Fasinarm,Norlop VML,,Positive change - Diversity & inclusión,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/bolsa-de-trabajo-inclusiva-fasinarm-norlop-vml-2025/
Effie Awards Latam,2025,Single-Market,Día de los padres O Boticário ¿Hasta cuándo vamos a pensar que 5 días son suficientes?,O Boticário,AlmapBBDO,,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dia-de-los-padres-o-boticario-hasta-cuando-vamos-a-pensar-que-5-dias-son-suficientes-o-boticario-almapbbdo-2025-2/
Effie Awards Latam,2025,Single-Market,Biblioteca casi vacía,Amazon,AlmapBBDO,,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/biblioteca-casi-vacia-amazon-almapbbdo-2025/
Effie Awards Latam,2025,Single-Market,Al verano llegamos todas,Dove,VML Argentina y Media Lab Agency,Initiative Argentina,Positive change - Diversity & inclusión,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/al-verano-llegamos-todas-dove-vml-argentina-y-media-lab-agency-2025-2/
Effie Awards Latam,2025,Single-Market,Promesas absurdas,ASDRA,VML,,Positive change - Diversity & inclusión,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/promesas-absurdas-asdra-vml-2025-2/
Effie Awards Latam,2025,Single-Market,Toda tu piel importa,Dove,VML e Initiative Argentina,Mercado ads/Medialab,Positive change - Diversity & inclusión,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/toda-tu-piel-importa-dove-vml-e-initiative-argentina-2025-2/
Effie Awards Latam,2025,Single-Market,"Cuando sacas lo imposible"" de la cabeza todo cambia",Homecenter,Proximity BBDO e Initiative Colombia,Contenidos el Rey,Positive change - Diversity & inclusión,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/cuando-sacas-lo-imposible-de-la-cabeza-todo-cambia-homecenter-proximity-bbdo-e-initiative-colombia-2025/
Effie Awards Latam,2025,Single-Market,No turning back,Royal Enfield,ArcherTroy,Not Normal,Positive change - Diversity & inclusión,México,Shortlist,/awards/effie_latam/2025/campaigns/no-turning-back-royal-enfield-archertroy-2025/
Effie Awards Latam,2025,Single-Market,Imagina con petacos,Cerveza Poker,DDB Colombia y Buentipo,,Positive change - Diversity & inclusión,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/imagina-con-petacos-cerveza-poker-ddb-colombia-y-buentipo-2025-2/
Effie Awards Latam,2025,Single-Market,Fer,Save The Children,Agencia (anónimo),,Positive change - Diversity & inclusión,México,Shortlist,/awards/effie_latam/2025/campaigns/fer-save-the-children-agencia-anonimo-2025/
Effie Awards Latam,2025,Single-Market,(Re)search my body,Grupo Boticário,Gut Brasil,Vetor Zero/SoWhat/Máquina/Cabaret,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/research-my-body-grupo-boticario-gut-brasil-2025/
Effie Awards Latam,2025,Single-Market,Club Social - Se no hay ajetreo no hay caso,Club Social - Xamã,Leo Burnett Tailor Made,,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/club-social-se-no-hay-ajetreo-no-hay-caso-club-social-xama-leo-burnett-tailor-made-2025-2/
Effie Awards Latam,2025,Single-Market,Far Away How the discover y spread like gossip,Avon,VML,,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/far-away-how-the-discover-y-spread-like-gossip-avon-vml-2025/
Effie Awards Latam,2025,Single-Market,Medusa la serie que se auto-censuró,Netflix,De Sancho BBDO,Flare BBDO,Positive change - Diversity & inclusión,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/medusa-la-serie-que-se-auto-censuro-netflix-de-sancho-bbdo-2025/
Effie Awards Latam,2025,Single-Market,Abogados BK Taste,Burger King,AlmapBBDO,Jotacom/Streetwise,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/abogados-bk-taste-burger-king-almapbbdo-2025-2/
Effie Awards Latam,2025,Single-Market,Demands for giving,Giving Tuesday,De la Cruz Ogilvy,Culture Create,Positive change - Diversity & inclusión,Puerto Rico,Shortlist,/awards/effie_latam/2025/campaigns/demands-for-giving-giving-tuesday-de-la-cruz-ogilvy-2025-2/
Effie Awards Latam,2025,Single-Market,(Un)deleted,Dove,VML Argentina y Media Lab Agency,Bien Buenos Aires/Initiative Argentina/Mama Hungara,Positive change - Diversity & inclusión,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/undeleted-dove-vml-argentina-y-media-lab-agency-2025-2/
Effie Awards Latam,2025,Single-Market,Hugo Lombardi,Movistar,Betty La Fea a Movistar Marketing Manager de Ogilvy Ecuador - Compañía Rednet Ecuador Ecuarednet S.A,Havas Ecuador,Positive change - Diversity & inclusión,Ecuador,Shortlist,/awards/effie_latam/2025/campaigns/hugo-lombardi-movistar-betty-la-fea-a-movistar-marketing-manager-de-ogilvy-ecuador-compania-rednet-ecuador-ecuarednet-sa/
Effie Awards Latam,2025,Single-Market,Pide casi casi todo lo que tiene Checo,Uber Eats,OMD México,Wieden + Kennedy,Positive change - Diversity & inclusión,México,Shortlist,/awards/effie_latam/2025/campaigns/pide-casi-casi-todo-lo-que-tiene-checo-uber-eats-omd-mexico-2025/
Effie Awards Latam,2025,Single-Market,ActaLUISAte a Galaxy A,Samsung,Cheil Chile,Cabruja FIlms,Positive change - Diversity & inclusión,Chile,Shortlist,/awards/effie_latam/2025/campaigns/actaluisate-a-galaxy-a-samsung-cheil-chile-2025/
Effie Awards Latam,2025,Single-Market,Salvando pelotica de goma,Vacílate esto,La Web / Buentipo Venezuela y Buentipo Colombia,,Positive change - Diversity & inclusión,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/salvando-pelotica-de-goma-vacilate-esto-la-web-buentipo-venezuela-y-buentipo-colombia-2025-2/
Effie Awards Latam,2025,Single-Market,Dove - only available in Brazil,Dove,David Agency y Tastemakers Assessoria De Comunicacao LTDA,Initiative/BR Media Group,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/dove-only-available-in-brazil-dove-david-agency-y-tastemakers-assessoria-de-comunicacao-ltda-2025-3/
Effie Awards Latam,2025,Single-Market,Corona Island,Corona,The Board,Bilbao Group,Positive change - Diversity & inclusión,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/corona-island-corona-the-board-2025/
Effie Awards Latam,2025,Single-Market,Fiat A buen entendedor minuto y medio basta,Fiat,Leo Burnett Tailor Made,Essence MediaCom,Positive change - Diversity & inclusión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/fiat-a-buen-entendedor-minuto-y-medio-basta-fiat-leo-burnett-tailor-made-2025/
Effie Awards Latam,2025,Single-Market,YPF team radio,YPF,David Buenos Aires,,Positive change - Diversity & inclusión,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/ypf-team-radio-ypf-david-buenos-aires-2025/
Effie Awards Latam,2025,Single-Market,"Max - El pingüino se apodera de Mercado Libre""",Warner Bros Discovery y Mercado Libre,Monks (Argentina),,Strategic brand integration,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/max-el-pinguino-se-apodera-de-mercado-libre-warner-bros-discovery-y-mercado-libre-monks-argentina-2025/
Effie Awards Latam,2025,Single-Market,Un argentino no te abandona Rexona tampoco,Rexona,Zurda e Initiative Argentina,Medialab/Catch,Strategic brand integration,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/un-argentino-no-te-abandona-rexona-tampoco-rexona-zurda-e-initiative-argentina-2025-2/
Effie Awards Latam,2025,Single-Market,Franco Delivered,Mercado Libre,Gut Argentina y Gut Brasil,Rebolucion,Strategic brand integration,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/franco-delivered-mercado-libre-gut-argentina-y-gut-brasil-2025/
Effie Awards Latam,2025,Single-Market,Rockn Ride,Uber y Quilmes,Wieden + Kennedy,OMD,Strategic brand integration,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/rockn-ride-uber-y-quilmes-wieden-kennedy-2025/
Effie Awards Latam,2025,Single-Market,Te Hace Grande,Milo/Nestlé,Ogilvy Chile y Ogilvy Argentina,Thrive,Strategic brand integration,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/te-hace-grande-milonestle-ogilvy-chile-y-ogilvy-argentina-2025-2/
Effie Awards Latam,2025,Single-Market,El sexo reactiva la economía,Tulipán,Zurda Agency,Pulmon/Retina,Strategic brand integration,Argentina,Shortlist,/awards/effie_latam/2025/campaigns/el-sexo-reactiva-la-economia-tulipan-zurda-agency-2025/
Effie Awards Latam,2025,Single-Market,Seguro ficticio ¿Tu personaje favorito se murió? ¡Felicitaciones ganaste!,RCN y Seguros del Estado,DDB Colombia y Multi,,Strategic brand integration,Colombia,Shortlist,/awards/effie_latam/2025/campaigns/seguro-ficticio-tu-personaje-favorito-se-murio-felicitaciones-ganaste-rcn-y-seguros-del-estado-ddb-colombia-y-multi-20-2/
Effie Awards Latam,2025,Single-Market,Paketaxo Dark El alma dark de la fiesta,Paketaxo,Don by Havas,,New products or services (launches) - Line extensión,México,Shortlist,/awards/effie_latam/2025/campaigns/paketaxo-dark-el-alma-dark-de-la-fiesta-paketaxo-don-by-havas-2025/
Effie Awards Latam,2025,Single-Market,Abogados BK Taste,Burger King,AlmapBBDO,Jotacom/Streetwise,New products or services (launches) - Line extensión,Brasil,Shortlist,/awards/effie_latam/2025/campaigns/abogados-bk-taste-burger-king-almapbbdo-2025-3/
Effie Awards Latam,2025,Single-Market,Charitón de la tele a la góndola,Nestlé Perú,America TV,McCann Lima/Apoyo Comunicacion SA,New products or services (launches) - Line extensión,Perú,Shortlist,/awards/effie_latam/2025/campaigns/chariton-de-la-tele-a-la-gondola-nestle-peru-america-tv-2025/
