Festival,Year,Track,Category,Agency,Network,Holding,Title,Country,Brand,Producer,Award,Permalink
FIAP,2023,Formatos,Mejor Uso de Influencer en cualquier plataforma,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Bronce,/awards/fiap/2023/campaigns/shoppable-armpits-unilever-wunderman-thompson-argentina-2023-3/
FIAP,2023,Formatos,Mejor Uso de Influencer en cualquier plataforma,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce,/awards/fiap/2023/campaigns/ready-player-mom-enterogermina-mrm-spain-2023-2/
FIAP,2023,Formatos,Music Content,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce,/awards/fiap/2023/campaigns/corrido-of-duty-activision-blizzard-archer-troy-2023-3/
FIAP,2023,Formatos,Online Video,Joystick FIFCO,Independientes,INDEPENDIENTE,Ustedes ya ganaron,Costa Rica,FIFCO,Atomica Films,Bronce,/awards/fiap/2023/campaigns/ustedes-ya-ganaron-fifco-joystick-fifco-2023/
FIAP,2023,Formatos,Own Media - Video Plataforma - Audio,Buentipo Anchor,Independientes,INDEPENDIENTE,Gennials vs Genero,Colombia,Banco Falabella,Tonka,Bronce,/awards/fiap/2023/campaigns/gennials-vs-genero-banco-falabella-buentipo-anchor-2023/
FIAP,2023,Formatos,Product Placement - Entretenimiento,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce,/awards/fiap/2023/campaigns/ready-player-mom-enterogermina-mrm-spain-2023-3/
FIAP,2023,Formatos,Product Placement - Entretenimiento,WMcCann,McCann Worldgroup,IPG,Harassment Advisory,Brasil,LOreal Paris,Craft Brasil,Bronce,/awards/fiap/2023/campaigns/harassment-advisory-loreal-paris-wmccann-2023-2/
FIAP,2023,Formatos,Product Placement - Entretenimiento,From,Independientes,INDEPENDIENTE,The Uncrashable Tucson,Uruguay,Hyundai Fidocar,Soy Simo,Bronce,/awards/fiap/2023/campaigns/the-uncrashable-tucson-hyundai-fidocar-from-2023-3/
FIAP,2023,Formatos,Product Placement - Ficcion,BLCK CREATIVE INTELLIGENCE STUDIO,Independientes,INDEPENDIENTE,Luis Thunder Heroe del Camino,Mexico,CLARIOS,La Tuna Films,Bronce,/awards/fiap/2023/campaigns/luis-thunder-heroe-del-camino-clarios-blck-creative-intelligence-studio-2023/
FIAP,2023,Formatos,Salud,MRM Spain,McCann Worldgroup,IPG,Ready Player Mom,Espana,Enterogermina,Sailor Studio,Bronce,/awards/fiap/2023/campaigns/ready-player-mom-enterogermina-mrm-spain-2023-4/
FIAP,2023,Formatos,Salud,Athos,Independientes,INDEPENDIENTE,Banco de Donantes de Bolivia,Bolivia,Nacional Seguros,Suena Polenta - Photodelica,Bronce,/awards/fiap/2023/campaigns/banco-de-donantes-de-bolivia-nacional-seguros-athos-2023-2/
FIAP,2023,Formatos,Social Content,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Shoppable Armpits,Argentina,Unilever,Waldenstudioco,Bronce,/awards/fiap/2023/campaigns/shoppable-armpits-unilever-wunderman-thompson-argentina-2023-4/
FIAP,2023,Formatos,Social Content,BADILLO SAATCHISAATCHI,Publicis Worldwide,PUBLICIS GROUPE,Mi Rey,Puerto Rico,Wendys Puerto Rico,Teremar Bravo,Bronce,/awards/fiap/2023/campaigns/mi-rey-wendys-puerto-rico-badillo-saatchisaatchi-2023/
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Fahrenheit DDB,DDB Worldwide,OMNICOM,Redesigning for E-nclusion,Peru,Supermercados Peruanos,Quechua Films,Oro,/awards/fiap/2023/campaigns/redesigning-for-e-nclusion-supermercados-peruanos-fahrenheit-ddb-2023-2/
FIAP,2023,Anuncios,Creatividad Efectiva - Bien Publico,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Oro,/awards/fiap/2023/campaigns/la-mancha-kimberly-clark-valor-socios-de-marcas-2023-4/
FIAP,2023,Anuncios,Grafica - Bien Publico,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Oro,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-6/
FIAP,2023,Anuncios,Grafica - Campanas Bien Publico,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Oro,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-7/
FIAP,2023,Anuncios,Grafica - Medios de comunicacion - Publicaciones,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Oro,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-8/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Oro,/awards/fiap/2023/campaigns/jingle-therapy-asociacion-de-alzheimer-de-pr-vmlyr-puerto-rico-2023-3/
FIAP,2023,Anuncios,New Business-Nuevos Negocios,AlmapBBDO,BBDO Worldwide,OMNICOM,Eart4,Brasil,United Nations Global Compact B3 Stock Exchange,AlmapBBDO - RAW Audio,Oro,/awards/fiap/2023/campaigns/eart4-united-nations-global-compact-b3-stock-exchange-almapbbdo-2023-4/
FIAP,2023,Anuncios,Radio - Campanas Productos - Servicios - Corporativas,Havas GURISA,Havas Creative,HAVAS,Podes comprarte una radio,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Oro,/awards/fiap/2023/campaigns/podes-comprarte-una-radio-loterias-y-quinielas-del-uruguay-havas-gurisa-2023-2/
FIAP,2023,Anuncios,Salud,VMLYR Puerto Rico,VMLYR,WPP,Jingle Therapy,Puerto Rico,Asociacion de Alzheimer de PR,VMLYR inhouse,Oro,/awards/fiap/2023/campaigns/jingle-therapy-asociacion-de-alzheimer-de-pr-vmlyr-puerto-rico-2023-4/
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,This is Libre,Independientes,INDEPENDIENTE,La Herencia,Espana,Campofrio,La Joya Producciones,Oro,/awards/fiap/2023/campaigns/la-herencia-campofrio-this-is-libre-2023-2/
FIAP,2023,Anuncios,Transformacion Social,Dentsu Creative Argentina,Dentsu Group Inc,DENTSU GROUP,Scrolling Therapy,Argentina,Eurofarma,Dentsu Creative Brasil,Oro,/awards/fiap/2023/campaigns/scrolling-therapy-eurofarma-dentsu-creative-argentina-2023-4/
FIAP,2023,Anuncios,Campanas Integrales,DON,Independientes,INDEPENDIENTE,Nombres mas simples,Argentina,Newsan SA,ORUGA,Plata,/awards/fiap/2023/campaigns/nombres-mas-simples-newsan-sa-don-2023-2/
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,De La Cruz - Ogilvy,Ogilvy,WPP,Preparandonos para la epoca de huracanes con Eye Tracker,Puerto Rico,SuperMax,MakeSystems,Plata,/awards/fiap/2023/campaigns/preparandonos-para-la-epoca-de-huracanes-con-eye-tracker-supermax-de-la-cruz-ogilvy-2023/
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,De La Cruz - Ogilvy,Ogilvy,WPP,Disfrazandonos para hacer parte de Halloween,Puerto Rico,Burger King Puerto Rico,Blue Room,Plata,/awards/fiap/2023/campaigns/disfrazandonos-para-hacer-parte-de-halloween-burger-king-puerto-rico-de-la-cruz-ogilvy-2023/
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,BESO by LLYC,Independientes,INDEPENDIENTE,Sopa de Senas,Mexico,Grupo La Moderna,Resident Films,Plata,/awards/fiap/2023/campaigns/sopa-de-senas-grupo-la-moderna-beso-by-llyc-2023-3/
FIAP,2023,Anuncios,Grafica - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023-3/
FIAP,2023,Anuncios,Grafica - Campanas Productos - Servicios - Corporativas,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023-4/
FIAP,2023,Anuncios,Grafica - Medios de comunicacion - Publicaciones,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Plata,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023-5/
FIAP,2023,Anuncios,Mejor Diseno,Buentipo Anchor,Independientes,INDEPENDIENTE,Club Colombia Eterno - Una Historia Nonuya,Colombia,AB InBev Colombia - Bavaria,BTFilms,Plata,/awards/fiap/2023/campaigns/club-colombia-eterno-una-historia-nonuya-ab-inbev-colombia-bavaria-buentipo-anchor-2023-2/
FIAP,2023,Anuncios,Mejor Estrategia - Planeacion,NU,Independientes,INDEPENDIENTE,Preguntale a alguien con Nu,Mexico,NU,Stink Mexico,Plata,/awards/fiap/2023/campaigns/preguntale-a-alguien-con-nu-nu-nu-2023/
FIAP,2023,Anuncios,Mejor Estrategia - Planeacion,VALOR SOCIOS DE MARCAS,Independientes,INDEPENDIENTE,La Mancha,Peru,Kimberly-Clark,KaO Films Content,Plata,/awards/fiap/2023/campaigns/la-mancha-kimberly-clark-valor-socios-de-marcas-2023-5/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,WMcCann,McCann Worldgroup,IPG,Harassment Advisory,Brasil,LOreal Paris,Craft Brasil,Plata,/awards/fiap/2023/campaigns/harassment-advisory-loreal-paris-wmccann-2023-3/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-9/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Fahrenheit DDB,DDB Worldwide,OMNICOM,Redesigning for E-nclusion,Peru,Supermercados Peruanos,Quechua Films,Plata,/awards/fiap/2023/campaigns/redesigning-for-e-nclusion-supermercados-peruanos-fahrenheit-ddb-2023-3/
FIAP,2023,Anuncios,Radio - Recreacion - Placer - Tiempo Libre - Transporte - Viajes - Turismo,Havas GURISA,Havas Creative,HAVAS,Inolvidable FM,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Plata,/awards/fiap/2023/campaigns/inolvidable-fm-loterias-y-quinielas-del-uruguay-havas-gurisa-2023/
FIAP,2023,Anuncios,Radio - Recreacion - Placer - Tiempo Libre - Transporte - Viajes - Turismo,Havas GURISA,Havas Creative,HAVAS,Metropolis FM,Uruguay,Loterias y Quinielas del Uruguay,Cien Fuegos,Plata,/awards/fiap/2023/campaigns/metropolis-fm-loterias-y-quinielas-del-uruguay-havas-gurisa-2023/
FIAP,2023,Anuncios,Salud,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Plata,/awards/fiap/2023/campaigns/v-land-essity-mexico-dentsu-creative-mexico-2023-3/
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,This is Libre,Independientes,INDEPENDIENTE,La Escalera,Espana,Hijos de Rivera SAU,Landia Films,Plata,/awards/fiap/2023/campaigns/la-escalera-hijos-de-rivera-sau-this-is-libre-2023-3/
FIAP,2023,Anuncios,Television - Cine - Digital - Automoviles,Conill,Publicis Worldwide,PUBLICIS GROUPE,Born to Lend a Hand,EE UU,Toyota Motor North America USA Inc,Morton Jankel Zander MJZ,Plata,/awards/fiap/2023/campaigns/born-to-lend-a-hand-toyota-motor-north-america-usa-inc-conill-2023/
FIAP,2023,Anuncios,Television - Cine - Digital - Bien Publico,VMLYR Puerto Rico,VMLYR,WPP,Luna The Stork,Puerto Rico,Departamento de la Familia - Gobierno de PR,Zombie Studio,Plata,/awards/fiap/2023/campaigns/luna-the-stork-departamento-de-la-familia-gobierno-de-pr-vmlyr-puerto-rico-2023-2/
FIAP,2023,Anuncios,Television - Cine - Digital - Electrodomesticos - Muebles - Electronica - Computacion - Audio - Video,iProspect - Dentsu,Dentsu Group Inc,DENTSU GROUP,NETFLIX EN ASMR,Espana,Vodafone Netflix,Cison Inversiones SL,Plata,/awards/fiap/2023/campaigns/netflix-en-asmr-vodafone-netflix-iprospect-dentsu-2023/
FIAP,2023,Anuncios,Transformacion Social,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,V-Land,Mexico,Essity Mexico,Gato Studio,Plata,/awards/fiap/2023/campaigns/v-land-essity-mexico-dentsu-creative-mexico-2023-4/
FIAP,2023,Anuncios,Via Publica - Campanas,Alma,DDB Worldwide,OMNICOM,Ballots Against Bullets - Survivors,EE UU,Change the Ref,Not Normal Films,Plata,/awards/fiap/2023/campaigns/ballots-against-bullets-survivors-change-the-ref-alma-2023-10/
FIAP,2023,Anuncios,Via Publica - Productos,BETC HAVAS,Havas Creative,HAVAS,Petra Milk,Brasil,Grupo Petropolis,Merci Studios,Plata,/awards/fiap/2023/campaigns/petra-milk-grupo-petropolis-betc-havas-2023-2/
FIAP,2023,Anuncios,Via Publica - Servicios,Dentsu Creative Mexico,Dentsu Group Inc,DENTSU GROUP,The Infected Billboard,Mexico,HBO,GOMA,Plata,/awards/fiap/2023/campaigns/the-infected-billboard-hbo-dentsu-creative-mexico-2023-2/
FIAP,2023,Anuncios,Campanas Integrales,Rock and Roll,Independientes,INDEPENDIENTE,Los bolivianos podemos,Bolivia,CBN,Ciclope Studio,Bronce,/awards/fiap/2023/campaigns/los-bolivianos-podemos-cbn-rock-and-roll-2023/
FIAP,2023,Anuncios,Campanas Integrales,RosadoToledo,Independientes,INDEPENDIENTE,Major League Dominicans,Republica Dominicana,Banco BHD,Up Films Band Keykalu Films RTFilms,Bronce,/awards/fiap/2023/campaigns/major-league-dominicans-banco-bhd-rosadotoledo-2023/
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,Agencia SM,Independientes,INDEPENDIENTE,Levis Inmortal,Chile,Levis Strauss Co,Agencia SM,Bronce,/awards/fiap/2023/campaigns/levis-inmortal-levis-strauss-co-agencia-sm-2023/
FIAP,2023,Anuncios,Creatividad Efectiva - Aporte Cultural y-o Multicultural,End to End,Independientes,INDEPENDIENTE,Pele in the Dictionary,Brasil,SporTV,Muevo,Bronce,/awards/fiap/2023/campaigns/pele-in-the-dictionary-sportv-end-to-end-2023-2/
FIAP,2023,Anuncios,Creatividad Efectiva - Bien Publico,From,Independientes,INDEPENDIENTE,Diego,Uruguay,AMIA,Metropolis Films,Bronce,/awards/fiap/2023/campaigns/diego-amia-from-2023/
FIAP,2023,Anuncios,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Twinkle Little Dogs,Mexico,Mars,,Bronce,/awards/fiap/2023/campaigns/twinkle-little-dogs-mars-bendita-carpeta-2023-2/
FIAP,2023,Anuncios,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,Think in red,Chile,Heinz,,Bronce,/awards/fiap/2023/campaigns/think-in-red-heinz-bendita-carpeta-2023/
FIAP,2023,Anuncios,Estudiantes,Bendita Carpeta,Escuela,INDEPENDIENTE,RePETriated,Mexico,Mars,,Bronce,/awards/fiap/2023/campaigns/repetriated-mars-bendita-carpeta-2023/
FIAP,2023,Anuncios,Grafica - Automoviles,Made Mexico,Independientes,INDEPENDIENTE,PORCENTAJES,Mexico,Jeep,Made,Bronce,/awards/fiap/2023/campaigns/porcentajes-jeep-made-mexico-2023/
FIAP,2023,Anuncios,Grafica - Campanas Productos - Servicios - Corporativas,DON,Independientes,INDEPENDIENTE,Una rueda mueve a la otra,Argentina,Newsan SA,Reino,Bronce,/awards/fiap/2023/campaigns/una-rueda-mueve-a-la-otra-newsan-sa-don-2023/
FIAP,2023,Anuncios,Grafica - Campanas Productos - Servicios - Corporativas,Made Mexico,Independientes,INDEPENDIENTE,Contratos,Mexico,Stabilo,Made,Bronce,/awards/fiap/2023/campaigns/contratos-stabilo-made-mexico-2023/
FIAP,2023,Anuncios,Grafica - Electrodomesticos - Muebles - Electronica - Computacion - Audio - Video,DON,Independientes,INDEPENDIENTE,Predicta,Argentina,Newsan SA,Rebolucion,Bronce,/awards/fiap/2023/campaigns/predicta-newsan-sa-don-2023/
FIAP,2023,Anuncios,Mejor Estrategia - Planeacion,REF,Independientes,INDEPENDIENTE,Cards Made With Cars,Brasil,Porto Seguro,Black Door,Bronce,/awards/fiap/2023/campaigns/cards-made-with-cars-porto-seguro-ref-2023/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Wunderman Thompson Argentina,Wunderman Thompson,WPP,Dolar Tuenti,Argentina,Movistar,Wunderman Thompson Argentina,Bronce,/awards/fiap/2023/campaigns/dolar-tuenti-movistar-wunderman-thompson-argentina-2023/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce,/awards/fiap/2023/campaigns/corrido-of-duty-activision-blizzard-archer-troy-2023-4/
FIAP,2023,Anuncios,New Business-Nuevos Negocios,RosadoToledo,Independientes,INDEPENDIENTE,Loving Yourself,Puerto Rico,Alicorp,Imabri Films,Bronce,/awards/fiap/2023/campaigns/loving-yourself-alicorp-rosadotoledo-2023/
FIAP,2023,Anuncios,Radio - Bien Publico,Buentipo Anchor,Independientes,INDEPENDIENTE,Escritores Suicidas,Colombia,Terpel,Buentipo Film,Bronce,/awards/fiap/2023/campaigns/escritores-suicidas-terpel-buentipo-anchor-2023/
FIAP,2023,Anuncios,Radio - Campanas Bien Publico,BBA,Independientes,INDEPENDIENTE,Coro LGBTIQ,Ecuador,DIALOGO DIVERSO,Fabryca,Bronce,/awards/fiap/2023/campaigns/coro-lgbtiq-dialogo-diverso-bba-2023/
FIAP,2023,Anuncios,Radio - Campanas Bien Publico,BeautifulBeast,Independientes,INDEPENDIENTE,Locutor Extranjero Cheat-Sheet,EE UU,Colon Cancer Coalition,Deaf Mule Dallas,Bronce,/awards/fiap/2023/campaigns/locutor-extranjero-cheat-sheet-colon-cancer-coalition-beautifulbeast-2023/
FIAP,2023,Anuncios,Radio - Jingles - Musica Original - Audio logo - Mejor Sound Effect,Archer Troy,Independientes,INDEPENDIENTE,Corrido of Duty,Mexico,Activision Blizzard,Rebolucion,Bronce,/awards/fiap/2023/campaigns/corrido-of-duty-activision-blizzard-archer-troy-2023-5/
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,The Cyranos,The Cyranos,INDEPENDIENTE,MOTO - DINNER -- Masterbrand KELLOGGS,Espana,KELLOGGS,AGOSTO,Bronce,/awards/fiap/2023/campaigns/moto-dinner-masterbrand-kelloggs-kelloggs-the-cyranos-2023/
FIAP,2023,Anuncios,Television - Cine - Digital - Bien Publico,Ogilvy Uruguay,Ogilvy,WPP,Se te puede pasar,Uruguay,Aldeas Infantiles SOS Uruguay,Guacho,Bronce,/awards/fiap/2023/campaigns/se-te-puede-pasar-aldeas-infantiles-sos-uruguay-ogilvy-uruguay-2023/
FIAP,2023,Anuncios,Television - Cine - Digital - Campanas Productos - Servicios - Corporativas,fe - The Cyranos,The Cyranos,INDEPENDIENTE,MINUETO -- Brasil KELLOGGS,Brasil,KELLOGGS,Barry Company,Bronce,/awards/fiap/2023/campaigns/minueto-brasil-kelloggs-kelloggs-fe-the-cyranos-2023/
FIAP,2023,Anuncios,Television - Cine - Digital - Campanas Productos - Servicios - Corporativas,The Cyranos,The Cyranos,INDEPENDIENTE,MOTO - DINNER -- Masterbrand KELLOGGS,Espana,KELLOGGS,AGOSTO,Bronce,/awards/fiap/2023/campaigns/moto-dinner-masterbrand-kelloggs-kelloggs-the-cyranos-2023-2/
FIAP,2023,Anuncios,Television - Cine - Digital - Campanas Productos - Servicios - Corporativas,The Cyranos,The Cyranos,INDEPENDIENTE,CHIP META MUSEO -- Cheez It KELLOGGS,Espana,KELLOGGS,Reino,Bronce,/awards/fiap/2023/campaigns/chip-meta-museo-cheez-it-kelloggs-kelloggs-the-cyranos-2023/
FIAP,2023,Anuncios,Transformacion Social,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Siemprevivas,Guatemala,Kotex - ZonaFem - Mujer de Negocios,El Studio,Bronce,/awards/fiap/2023/campaigns/siemprevivas-kotex-zonafem-mujer-de-negocios-publicidad-comercial-mullenlowe-guatemala-2023/
FIAP,2023,Anuncios,Transformacion Social,Sajo--McCann,McCann Worldgroup,IPG,Calles con nombre de mujer,Puerto Rico,Garage Isla Verde,Cinta 23,Bronce,/awards/fiap/2023/campaigns/calles-con-nombre-de-mujer-garage-isla-verde-sajo-mccann-2023/
FIAP,2023,Anuncios,Transformacion Social,Havas Group Peru,Havas Creative,HAVAS,Modelos que se hacen ver,Peru,CERCIL Centro de rehabilitacion para ciegos de Lima,Havas Group Peru,Bronce,/awards/fiap/2023/campaigns/modelos-que-se-hacen-ver-cercil-centro-de-rehabilitacion-para-ciegos-de-lima-havas-group-peru-2023/
FIAP,2023,Anuncios,Via Publica - Campanas,Havas Group Peru,Havas Creative,HAVAS,La mejor religion,Peru,Amnistia Internacional,Havas Group Peru,Bronce,/awards/fiap/2023/campaigns/la-mejor-religion-amnistia-internacional-havas-group-peru-2023/
FIAP,2023,Anuncios,Via Publica - Campanas,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Bronce,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023-6/
FIAP,2023,Anuncios,Via Publica - Productos,Publicidad Comercial MullenLowe Guatemala,MullenLowe Group,IPG,Whopper Chase,Guatemala,Burger King Guatemala,R7,Bronce,/awards/fiap/2023/campaigns/whopper-chase-burger-king-guatemala-publicidad-comercial-mullenlowe-guatemala-2023-2/
FIAP,2023,Anuncios,Via Publica - Productos,Alma,DDB Worldwide,OMNICOM,Explosions,EE UU,Molson Coors Beverage Company,Billups,Bronce,/awards/fiap/2023/campaigns/explosions-molson-coors-beverage-company-alma-2023-7/
FIAP,2023,Anuncios,Mejor Uso de la Cultura Local,Buentipo Anchor,Independientes,INDEPENDIENTE,Club Colombia Eterno - Una Historia Nonuya,Colombia,AB InBev Colombia - Bavaria,BTFilms,Bronce,/awards/fiap/2023/campaigns/club-colombia-eterno-una-historia-nonuya-ab-inbev-colombia-bavaria-buentipo-anchor-2023-3/
FIAP,2023,Anuncios,Television - Cine - Digital - Alimentos - Comidas - Bebidas Alcoholicas - No Alcoholicas,draftLine ABINBEV,Independientes,INDEPENDIENTE,Un legado correspondido,Ecuador,Cerveceria Nacional - AB InBev,Bang Producciones,Bronce,/awards/fiap/2023/campaigns/un-legado-correspondido-cerveceria-nacional-ab-inbev-draftline-abinbev-2023/
